ALARM_NUMBER;ALARM_TYPE;SEVERITY;ALARM_TIME;CANCEL_STATE;CANCEL_TIME;NAME;CONSECUTIVE_NUMBER;ALARM_INSERTION_TIME;ALARM_UPDATE_TIME
7706;Communication;Major;09/07/2020 07:31;VRAI;09/07/2020 07:32;2G_KLK020;;09/07/2020 07:32;09/07/2020 07:31
7706;Communication;Major;09/07/2020 07:30;VRAI;09/07/2020 07:31;2G_KLK020;;09/07/2020 07:30;09/07/2020 07:30
7706;Communication;Major;09/07/2020 07:28;VRAI;09/07/2020 07:29;2G_KLK020;;09/07/2020 07:28;09/07/2020 07:28
7706;Communication;Major;09/07/2020 07:28;FAUX;;2G_KLK046;;09/07/2020 07:28;09/07/2020 07:28
7706;Communication;Major;09/07/2020 07:26;VRAI;09/07/2020 07:28;2G_KLK020;;09/07/2020 07:26;09/07/2020 07:26
7706;Communication;Major;09/07/2020 07:25;VRAI;09/07/2020 07:25;2G_KLK020;;09/07/2020 07:25;09/07/2020 07:25
7706;Communication;Major;09/07/2020 07:24;VRAI;09/07/2020 07:24;2G_KLK020;;09/07/2020 07:24;09/07/2020 07:24
7706;Communication;Major;09/07/2020 07:23;VRAI;09/07/2020 07:23;2G_KLK020;;09/07/2020 07:23;09/07/2020 07:23
7786;Quality Of Service;Major;09/07/2020 07:20;VRAI;09/07/2020 07:20;3G_ZG004;;09/07/2020 07:21;09/07/2020 07:20
7706;Communication;Major;09/07/2020 07:19;VRAI;09/07/2020 07:20;2G_KLK020;;09/07/2020 07:19;09/07/2020 07:19
7706;Communication;Major;09/07/2020 07:17;VRAI;09/07/2020 07:18;2G_KLK020;;09/07/2020 07:17;09/07/2020 07:17
7706;Communication;Major;09/07/2020 07:15;VRAI;09/07/2020 07:17;2G_KLK020;;09/07/2020 07:15;09/07/2020 07:15
7706;Communication;Major;09/07/2020 07:13;VRAI;09/07/2020 07:14;2G_KLK020;;09/07/2020 07:13;09/07/2020 07:13
7706;Communication;Major;09/07/2020 07:11;VRAI;09/07/2020 07:13;2G_KLK020;;09/07/2020 07:11;09/07/2020 07:11
7706;Communication;Major;09/07/2020 07:11;VRAI;09/07/2020 07:11;2G_KLK020;;09/07/2020 07:11;09/07/2020 07:11
7706;Communication;Major;09/07/2020 07:10;VRAI;09/07/2020 07:10;2G_KLK020;;09/07/2020 07:10;09/07/2020 07:10
7706;Communication;Major;09/07/2020 07:07;VRAI;09/07/2020 07:09;2G_KLK020;;09/07/2020 07:07;09/07/2020 07:07
7706;Communication;Major;09/07/2020 07:05;VRAI;09/07/2020 07:06;2G_KLK020;;09/07/2020 07:05;09/07/2020 07:05
7786;Quality Of Service;Major;09/07/2020 07:03;VRAI;09/07/2020 07:04;3G_ZG051;;09/07/2020 07:04;09/07/2020 07:03
7706;Communication;Major;09/07/2020 07:02;VRAI;09/07/2020 07:04;2G_KLK020;;09/07/2020 07:02;09/07/2020 07:02
7706;Communication;Major;09/07/2020 07:01;VRAI;09/07/2020 07:01;2G_KLK020;;09/07/2020 07:01;09/07/2020 07:01
7706;Communication;Major;09/07/2020 06:58;VRAI;09/07/2020 07:00;2G_KLK020;;09/07/2020 06:58;09/07/2020 06:58
7706;Communication;Major;09/07/2020 06:56;VRAI;09/07/2020 06:57;2G_KLK020;;09/07/2020 06:56;09/07/2020 06:56
7706;Communication;Major;09/07/2020 06:54;VRAI;09/07/2020 06:55;2G_KLK020;;09/07/2020 06:54;09/07/2020 06:54
7706;Communication;Major;09/07/2020 06:53;VRAI;09/07/2020 06:54;2G_KLK020;;09/07/2020 06:53;09/07/2020 06:53
7706;Communication;Major;09/07/2020 06:52;VRAI;09/07/2020 06:52;2G_KLK020;;09/07/2020 06:52;09/07/2020 06:52
7706;Communication;Major;09/07/2020 06:51;VRAI;09/07/2020 06:51;2G_KLK020;;09/07/2020 06:51;09/07/2020 06:51
7706;Communication;Major;09/07/2020 06:49;VRAI;09/07/2020 06:50;2G_KLK020;;09/07/2020 06:49;09/07/2020 06:49
7706;Communication;Major;09/07/2020 06:47;VRAI;09/07/2020 06:49;2G_KLK020;;09/07/2020 06:47;09/07/2020 06:47
7706;Communication;Major;09/07/2020 06:44;VRAI;09/07/2020 06:44;2G_KLK020;;09/07/2020 06:44;09/07/2020 06:44
7706;Communication;Major;09/07/2020 06:42;VRAI;09/07/2020 06:43;2G_KLK020;;09/07/2020 06:42;09/07/2020 06:42
7706;Communication;Major;09/07/2020 06:40;VRAI;09/07/2020 06:41;2G_KLK020;;09/07/2020 06:40;09/07/2020 06:40
7706;Communication;Major;09/07/2020 06:39;VRAI;09/07/2020 06:39;2G_KLK020;;09/07/2020 06:39;09/07/2020 06:39
7706;Communication;Major;09/07/2020 06:35;VRAI;09/07/2020 06:35;2G_KLK048;;09/07/2020 06:35;09/07/2020 06:35
7706;Communication;Major;09/07/2020 06:30;VRAI;09/07/2020 06:30;2G_KLK020;;09/07/2020 06:30;09/07/2020 06:30
7706;Communication;Major;09/07/2020 06:28;VRAI;09/07/2020 06:29;2G_KLK020;;09/07/2020 06:28;09/07/2020 06:28
7706;Communication;Major;09/07/2020 06:25;VRAI;09/07/2020 06:27;2G_KLK020;;09/07/2020 06:25;09/07/2020 06:25
